Country,With NMSC : Both Sexes : Population,With NMSC : Both Sexes : ASR,With NMSC : Both Sexes : Mortality,With NMSC : Men : Population,With NMSC : Men : Mortality,With NMSC : Women : Population,With NMSC : Women : Mortality,Without NMSC : Both Sexes : Population,Without NMSC : Both Sexes : ASR,Without NMSC : Both Sexes : Mortality,Without NMSC : Men : Population,Without NMSC : Men : Mortality,Without NMSC : Women : Population,Without NMSC : Women : Mortality
French Guyana,589,204.3,233,341,138,248,95,563,195.5,233,325,138,238,95
French Polynesia,877,228.1,481,477,296,400,185,877,228.1,481,477,296,400,185
Gabon,1875,114.4,1094,742,480,1133,614,1842,112.3,1088,726,477,1116,611
Gambia,1196,79.2,899,520,440,676,459,1192,78.9,899,518,440,674,459
Gaza Strip and West Bank,5030,152.3,3011,2506,1676,2524,1335,4978,150.8,2995,2472,1663,2506,1332
Georgia,13689,197.5,8459,7253,4636,6436,3823,13184,192.2,8238,6996,4511,6188,3727
Germany,605805,274.2,253170,323545,137826,282260,115344,529955,250.4,251875,278113,137070,251842,114805
Ghana,27385,120.4,17944,11398,8088,15987,9856,27054,119.0,17838,11191,8022,15863,9816
Greece,65703,258.7,32385,36564,19120,29139,13265,63176,253.8,32223,35194,19020,27982,13203
Guam,412,167.2,267,221,153,191,114,412,167.2,267,221,153,191,114
Guatemala,17801,121.8,10369,7783,4544,10018,5825,17304,118.8,10207,7562,4465,9742,5742
Guinea,8777,116.3,6363,3155,2432,5622,3931,8558,113.5,6271,3050,2387,5508,3884
Guinea-Bissau,1170,100.3,849,428,323,742,526,1141,98.0,838,415,318,726,520
Guyana,1225,142.5,612,537,271,688,341,1223,142.3,612,535,271,688,341
Haiti,13860,141.1,9014,7028,4595,6832,4419,13753,140.0,8972,6979,4576,6774,4396
Honduras,10815,128.0,7011,5051,3364,5764,3647,10663,126.2,6965,4968,3334,5695,3631
Hungary,66340,336.7,32482,34250,17355,32090,15127,62509,321.2,32245,32450,17237,30059,15008
Iceland,1777,268.3,669,909,349,868,320,1663,255.4,669,847,349,816,320
India,1413316,98.5,916827,691178,470055,722138,446772,1401721,97.7,911793,684166,466780,717555,445013
Indonesia,408661,136.9,242988,188395,128740,220266,114248,400820,134.2,240537,184093,127403,216727,113134
Iran,137198,149.0,87247,76441,50713,60757,36534,133121,144.5,86711,73512,50367,59609,36344
Iraq,37382,136.6,21536,15824,10403,21558,11133,36982,134.9,21428,15603,10335,21379,11093
Ireland,31242,344.7,10438,17252,5463,13990,4975,26884,307.0,10310,14407,5384,12477,4926
Israel,30438,245.8,12855,14746,6500,15692,6355,30234,244.3,12715,14646,6434,15588,6281
Italy,436242,284.5,193706,232150,103859,204092,89847,407240,272.4,192227,213092,103029,194148,89198
Jamaica,7500,199.6,4632,3713,2423,3787,2209,7429,197.7,4623,3674,2417,3755,2206
Japan,1005157,267.1,426278,580535,240823,424622,185455,992806,264.8,425025,573914,240225,418892,184800
Jordan,12328,152.6,6458,5694,3453,6634,3005,12164,150.4,6412,5601,3425,6563,2987
Kazakhstan,36225,162.3,20686,16947,11365,19278,9321,34116,153.3,20534,16207,11287,17909,9247
Kenya,44726,149.1,29317,16349,11314,28377,18003,44065,146.9,29091,16031,11212,28034,17879
Kuwait,4347,111.4,1968,2120,1098,2227,870,4327,110.9,1967,2108,1097,2219,870
Kyrgyzstan,7266,125.8,4672,3371,2454,3895,2218,7040,121.2,4622,3284,2431,3756,2191
Laos,9101,154.5,6215,4579,3544,4522,2671,8993,152.5,6176,4527,3525,4466,2651
Latvia,11458,288.9,5872,5908,3160,5550,2712,11082,280.6,5808,5754,3130,5328,2678
Lebanon,13034,168.8,7307,6593,3950,6441,3357,12690,164.6,7178,6368,3861,6322,3317
Lesotho,2027,115.5,1411,725,507,1302,904,1969,112.1,1389,699,496,1270,893
Liberia,3873,115.2,2730,1548,1137,2325,1593,3796,113.0,2699,1508,1122,2288,1577
Libya,8171,132.3,5316,4070,2920,4101,2396,8099,131.0,5291,4023,2903,4076,2388
Lithuania,16413,287.9,8349,9245,4639,7168,3710,16119,284.8,8294,9091,4615,7028,3679
Luxembourg,3440,273.3,1093,1742,576,1698,517,2983,245.2,1089,1510,573,1473,516
Madagascar,21297,117.4,14270,8500,6048,12797,8222,20693,114.5,14034,8226,5937,12467,8097
Malawi,19846,159.5,13979,7415,5231,12431,8748,19475,156.3,13802,7243,5148,12232,8654
Malaysia,51650,142.1,31633,24892,16980,26758,14653,51133,140.7,31420,24568,16845,26565,14575
Maldives,479,105.3,241,248,150,231,91,471,103.0,241,242,150,229,91
Mali,15151,139.9,10678,5554,4209,9597,6469,14842,137.0,10541,5409,4147,9433,6394
Malta,2855,282.5,1036,1529,570,1326,466,2738,275.9,1033,1444,568,1294,465
Mauritania,3274,105.3,2234,1266,908,2008,1326,3202,103.1,2207,1230,896,1972,1311
Mauritius,2888,140.0,1469,1269,715,1619,754,2795,135.8,1469,1219,715,1576,754
Mexico,207154,140.9,96210,95954,46415,111200,49795,198533,135.6,95165,90818,45831,107715,49334
Moldova,14816,232.2,8148,7985,4847,6831,3301,13377,212.0,8099,7329,4820,6048,3279
